dataset,mean_baseline,time,regimen,H,E,J,L,M,O,Pa,R,S,U,Z,drug_number,regimen_name,incubation_time_d,inoc_size,relapse,relapse_n,DV,type,median_cfu_change,mean_cfu_change,cfu_value,cfu_sd,cfu_change_assumed,JL,JPa,JM,JZ
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZL,0,0,1,1,0,0,0,0,0,0,1,3,JLZ,13,3.668333333,0,15,0,prop relapse,5.963030315,5.924230823,1.457435844,0.145964331,5.963030315,1,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
data456,7.381666667,84,JZ,0,0,1,0,0,0,0,0,0,0,1,2,JZ,13,3.668333333,0,15,0,prop relapse,5.661073725,5.748447162,1.483219505,0.446793016,5.661073725,0,0,0,1
